"";"Store";"StoreType";"Assortment";"CompetitionDistance";"CompetitionOpenSinceMonth";"CompetitionOpenSinceYear";"Promo2";"Promo2SinceWeek";"Promo2SinceYear";"PromoInterval";"CompetitionOpenSince";"States"
"295";295;"a";"a";210;11;2000;1;36;2013;"Mar,Jun,Sept,Dec";Nov 2000;"BW"
"296";296;"a";"a";9580;5;2007;1;45;2014;"Feb,May,Aug,Nov";May 2007;"HE"
"297";297;"a";"a";2300;9;2010;0;NA;NA;"";Sep 2010;"BW"
"298";298;"d";"a";19840;7;2009;0;NA;NA;"";Jul 2009;"BY"
"299";299;"d";"c";38630;9;2012;0;NA;NA;"";Sep 2012;"SH"
"300";300;"a";"c";120;4;2009;1;1;2012;"Jan,Apr,Jul,Oct";Apr 2009;"HE"
"301";301;"a";"c";4510;NA;NA;0;NA;NA;"";NA;"SH"
"302";302;"d";"c";2190;12;2007;1;9;2011;"Mar,Jun,Sept,Dec";Dec 2007;"HE"
"303";303;"a";"a";15430;11;2012;1;18;2011;"Feb,May,Aug,Nov";Nov 2012;"NW"
"304";304;"a";"a";1950;NA;NA;0;NA;NA;"";NA;"BE"
"305";305;"c";"c";2470;2;2005;1;31;2013;"Mar,Jun,Sept,Dec";Feb 2005;"HE"
"306";306;"a";"a";5100;4;2007;1;40;2014;"Jan,Apr,Jul,Oct";Apr 2007;"BY"
"307";307;"a";"a";18660;9;2002;0;NA;NA;"";Sep 2002;"TH"
"308";308;"a";"a";1070;12;2006;1;13;2010;"Jan,Apr,Jul,Oct";Dec 2006;"NW"
"309";309;"d";"a";8740;NA;NA;1;37;2009;"Feb,May,Aug,Nov";NA;"NW"
"310";310;"a";"c";2290;NA;NA;1;10;2014;"Mar,Jun,Sept,Dec";NA;"SH"
"311";311;"a";"c";680;7;2005;0;NA;NA;"";Jul 2005;"HE"
"312";312;"d";"a";11300;3;2012;0;NA;NA;"";Mar 2012;"HE"
"313";313;"d";"c";14160;NA;NA;0;NA;NA;"";NA;"TH"
"314";314;"a";"a";3560;10;2001;1;31;2013;"Feb,May,Aug,Nov";Oct 2001;"NW"
"315";315;"a";"c";38710;4;2013;0;NA;NA;"";Apr 2013;"SH"
"316";316;"d";"a";9000;8;2001;0;NA;NA;"";Aug 2001;"NW"
"317";317;"d";"a";3140;7;2013;1;14;2011;"Jan,Apr,Jul,Oct";Jul 2013;"BY"
"318";318;"d";"c";32330;3;2014;0;NA;NA;"";Mar 2014;"SN"
"319";319;"a";"c";570;9;2012;1;27;2012;"Mar,Jun,Sept,Dec";Sep 2012;"SH"
"320";320;"a";"c";210;9;2012;0;NA;NA;"";Sep 2012;"SH"
"321";321;"c";"c";8140;11;2013;1;10;2014;"Mar,Jun,Sept,Dec";Nov 2013;"SN"
"322";322;"a";"a";17500;4;2001;1;37;2009;"Jan,Apr,Jul,Oct";Apr 2001;"TH"
"323";323;"d";"c";8400;4;2012;1;5;2013;"Feb,May,Aug,Nov";Apr 2012;"RP"
"324";324;"a";"a";13140;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"ST"
"325";325;"a";"c";350;3;2011;1;22;2011;"Feb,May,Aug,Nov";Mar 2011;"NW"
"326";326;"d";"a";10070;NA;NA;1;31;2013;"Feb,May,Aug,Nov";NA;"RP"
"327";327;"c";"c";1390;12;2004;0;NA;NA;"";Dec 2004;"ST"
"328";328;"a";"a";3130;7;2002;0;NA;NA;"";Jul 2002;"NW"
"329";329;"a";"a";1310;6;1990;1;22;2012;"Mar,Jun,Sept,Dec";Jun 1990;"NW"
"330";330;"a";"c";370;NA;NA;1;22;2012;"Mar,Jun,Sept,Dec";NA;"NW"
"331";331;"a";"c";670;NA;NA;1;14;2015;"Jan,Apr,Jul,Oct";NA;"RP"
"332";332;"a";"a";1840;3;2006;0;NA;NA;"";Mar 2006;"ST"
"333";333;"a";"c";3720;2;2010;0;NA;NA;"";Feb 2010;"HH"
"334";334;"d";"c";4040;8;2008;1;18;2013;"Mar,Jun,Sept,Dec";Aug 2008;"NW"
"335";335;"b";"a";90;NA;NA;1;31;2013;"Jan,Apr,Jul,Oct";NA;"NW"
"336";336;"a";"a";190;7;2014;0;NA;NA;"";Jul 2014;"HE"
"337";337;"d";"c";10600;7;2005;1;45;2014;"Feb,May,Aug,Nov";Jul 2005;"HE"
"338";338;"a";"c";1590;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"HE"
"339";339;"a";"c";2280;NA;NA;1;10;2013;"Mar,Jun,Sept,Dec";NA;"RP"
"340";340;"a";"c";8080;NA;NA;0;NA;NA;"";NA;"SH"
"341";341;"a";"a";190;9;2011;0;NA;NA;"";Sep 2011;"NW"
"342";342;"d";"c";15770;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"343";343;"d";"a";18650;4;2004;1;14;2014;"Jan,Apr,Jul,Oct";Apr 2004;"NW"
"344";344;"a";"c";300;4;2011;1;14;2011;"Jan,Apr,Jul,Oct";Apr 2011;"HH"
"345";345;"a";"a";120;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"346";346;"a";"c";8090;NA;NA;0;NA;NA;"";NA;"NW"
"347";347;"d";"c";9360;7;2013;1;22;2012;"Mar,Jun,Sept,Dec";Jul 2013;"BW"
"348";348;"a";"a";16490;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"349";349;"c";"c";1490;4;2009;0;NA;NA;"";Apr 2009;"HB, NI"
"350";350;"d";"a";8880;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"HE"
"351";351;"a";"a";5290;11;2012;1;5;2013;"Feb,May,Aug,Nov";Nov 2012;"NW"
"352";352;"d";"c";6360;NA;NA;1;40;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"353";353;"b";"b";900;NA;NA;1;14;2013;"Feb,May,Aug,Nov";NA;"BW"
"354";354;"d";"c";1500;10;2005;0;NA;NA;"";Oct 2005;"NW"
"355";355;"a";"c";9720;8;2013;0;NA;NA;"";Aug 2013;"SH"
"356";356;"d";"c";8970;12;2007;1;22;2012;"Feb,May,Aug,Nov";Dec 2007;"BW"
"357";357;"a";"a";2060;10;2008;0;NA;NA;"";Oct 2008;"SN"
"358";358;"a";"a";2890;10;2003;0;NA;NA;"";Oct 2003;"NW"
"359";359;"d";"c";4370;NA;NA;0;NA;NA;"";NA;"RP"
"360";360;"a";"a";2040;6;2007;0;NA;NA;"";Jun 2007;"HB, NI"
"361";361;"c";"c";4490;5;2014;1;5;2013;"Feb,May,Aug,Nov";May 2014;"ST"
"362";362;"c";"c";340;NA;NA;0;NA;NA;"";NA;"HE"
"363";363;"a";"a";250;9;2009;0;NA;NA;"";Sep 2009;"HB, NI"
"364";364;"a";"c";13620;NA;NA;1;10;2014;"Mar,Jun,Sept,Dec";NA;"RP"
"365";365;"c";"a";2410;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"366";366;"d";"c";6470;12;2004;0;NA;NA;"";Dec 2004;"ST"
"367";367;"d";"c";2640;9;2012;0;NA;NA;"";Sep 2012;"SH"
"368";368;"d";"c";1450;4;2005;1;45;2009;"Feb,May,Aug,Nov";Apr 2005;"BW"
"369";369;"d";"c";5870;4;2014;0;NA;NA;"";Apr 2014;"HE"
"370";370;"d";"a";8250;10;2000;1;31;2009;"Jan,Apr,Jul,Oct";Oct 2000;"NW"
"371";371;"d";"c";1970;7;2009;1;45;2014;"Feb,May,Aug,Nov";Jul 2009;"HE"
"372";372;"d";"c";4880;8;2010;1;18;2014;"Jan,Apr,Jul,Oct";Aug 2010;"NW"
"373";373;"d";"c";11120;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BW"
"374";374;"a";"a";1150;9;2007;0;NA;NA;"";Sep 2007;"HB, NI"
"375";375;"a";"c";15710;2;2013;1;37;2009;"Jan,Apr,Jul,Oct";Feb 2013;"ST"
"376";376;"a";"a";160;8;2012;0;NA;NA;"";Aug 2012;"HB, NI"
"377";377;"a";"c";100;6;2010;1;18;2010;"Feb,May,Aug,Nov";Jun 2010;"SH"
"378";378;"a";"c";2140;8;2012;0;NA;NA;"";Aug 2012;"NW"
"379";379;"d";"a";6630;NA;NA;0;NA;NA;"";NA;"BE"
"380";380;"a";"a";2240;5;2013;1;10;2014;"Mar,Jun,Sept,Dec";May 2013;"NW"
"381";381;"a";"a";1800;11;2006;1;5;2013;"Feb,May,Aug,Nov";Nov 2006;"ST"
"382";382;"c";"c";26130;11;2002;0;NA;NA;"";Nov 2002;"ST"
"383";383;"a";"c";350;NA;NA;0;NA;NA;"";NA;"HE"
"384";384;"a";"c";130;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"TH"
"385";385;"d";"a";4580;9;2007;0;NA;NA;"";Sep 2007;"BY"
"386";386;"d";"c";1460;4;2014;1;31;2013;"Jan,Apr,Jul,Oct";Apr 2014;"NW"
"387";387;"c";"a";210;NA;NA;1;36;2013;"Mar,Jun,Sept,Dec";NA;"NW"
"388";388;"a";"a";2260;NA;NA;0;NA;NA;"";NA;"NW"
"389";389;"a";"c";6690;8;2011;0;NA;NA;"";Aug 2011;"HH"
"390";390;"a";"c";1600;4;2009;0;NA;NA;"";Apr 2009;"HB, NI"
"391";391;"a";"a";460;11;2014;1;31;2013;"Feb,May,Aug,Nov";Nov 2014;"NW"
"392";392;"a";"a";2120;NA;NA;0;NA;NA;"";NA;"NW"
"393";393;"d";"c";4820;3;2008;0;NA;NA;"";Mar 2008;"NW"
"394";394;"d";"a";10850;NA;NA;0;NA;NA;"";NA;"HE"
"395";395;"a";"a";3620;2;2013;0;NA;NA;"";Feb 2013;"NW"
"396";396;"a";"c";23130;NA;NA;0;NA;NA;"";NA;"ST"
"397";397;"a";"c";130;NA;NA;1;27;2013;"Feb,May,Aug,Nov";NA;"NW"
"398";398;"c";"c";1540;NA;NA;1;1;2012;"Jan,Apr,Jul,Oct";NA;"SH"
"399";399;"a";"a";5360;9;2012;1;40;2011;"Jan,Apr,Jul,Oct";Sep 2012;"BY"
"400";400;"a";"a";70;11;2004;1;14;2011;"Jan,Apr,Jul,Oct";Nov 2004;"TH"
"401";401;"a";"c";9200;10;2009;1;14;2012;"Jan,Apr,Jul,Oct";Oct 2009;"SN"
"402";402;"c";"c";5830;9;2011;1;13;2010;"Jan,Apr,Jul,Oct";Sep 2011;"ST"
"403";403;"a";"a";4970;NA;NA;0;NA;NA;"";NA;"NW"
"404";404;"a";"c";1420;NA;NA;1;10;2013;"Mar,Jun,Sept,Dec";NA;"BW"
"405";405;"a";"a";1080;4;2008;1;14;2011;"Jan,Apr,Jul,Oct";Apr 2008;"NW"
"406";406;"d";"c";8240;3;2001;1;10;2013;"Feb,May,Aug,Nov";Mar 2001;"RP"
"407";407;"a";"a";5890;10;2003;1;14;2011;"Feb,May,Aug,Nov";Oct 2003;"BY"
"408";408;"c";"a";1560;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BW"
"409";409;"d";"c";840;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"410";410;"c";"a";40;11;2011;1;22;2012;"Mar,Jun,Sept,Dec";Nov 2011;"NW"
"411";411;"d";"c";8460;NA;NA;0;NA;NA;"";NA;"HE"
"412";412;"d";"c";4460;NA;NA;1;39;2010;"Jan,Apr,Jul,Oct";NA;"BY"
"413";413;"a";"c";760;9;2014;0;NA;NA;"";Sep 2014;"BY"
"414";414;"d";"c";6210;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"415";415;"d";"c";6910;4;2005;0;NA;NA;"";Apr 2005;"RP"
"416";416;"a";"c";4650;6;2014;0;NA;NA;"";Jun 2014;"HH"
"417";417;"a";"c";840;NA;NA;1;10;2014;"Jan,Apr,Jul,Oct";NA;"NW"
"418";418;"a";"a";1060;5;2009;1;27;2011;"Feb,May,Aug,Nov";May 2009;"NW"
"419";419;"c";"a";1620;9;2009;0;NA;NA;"";Sep 2009;"HB, NI"
"420";420;"d";"c";250;NA;NA;1;27;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"421";421;"c";"c";3530;6;2012;1;35;2012;"Mar,Jun,Sept,Dec";Jun 2012;"SH"
"422";422;"a";"c";2880;NA;NA;0;NA;NA;"";NA;"SH"
"423";423;"b";"a";1270;5;2014;0;NA;NA;"";May 2014;"HB, NI"
"424";424;"d";"c";1250;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"425";425;"d";"c";1460;NA;NA;0;NA;NA;"";NA;"NW"
"426";426;"a";"a";250;NA;NA;0;NA;NA;"";NA;"NW"
"427";427;"a";"c";70;7;2005;1;13;2010;"Jan,Apr,Jul,Oct";Jul 2005;"BY"
"428";428;"d";"a";2960;12;2014;1;23;2015;"Mar,Jun,Sept,Dec";Dec 2014;"BY"
"429";429;"d";"c";16350;7;2005;1;31;2013;"Jan,Apr,Jul,Oct";Jul 2005;"BY"
"430";430;"d";"c";12870;10;2008;0;NA;NA;"";Oct 2008;"BY"
"431";431;"d";"c";4520;NA;NA;0;NA;NA;"";NA;"NW"
"432";432;"a";"a";810;5;2013;0;NA;NA;"";May 2013;"HH"
"433";433;"a";"c";30030;11;2010;0;NA;NA;"";Nov 2010;"SH"
"434";434;"a";"a";13020;8;2003;1;40;2014;"Jan,Apr,Jul,Oct";Aug 2003;"BY"
"435";435;"a";"a";910;NA;NA;0;NA;NA;"";NA;"NW"
"436";436;"d";"a";2300;NA;NA;0;NA;NA;"";NA;"SN"
"437";437;"c";"c";430;NA;NA;1;50;2010;"Jan,Apr,Jul,Oct";NA;"SN"
"438";438;"d";"c";1110;NA;NA;1;40;2012;"Jan,Apr,Jul,Oct";NA;"SN"
"439";439;"a";"a";1350;9;2009;0;NA;NA;"";Sep 2009;"HB, NI"
"440";440;"d";"a";3900;4;2005;1;45;2009;"Feb,May,Aug,Nov";Apr 2005;"BW"
"441";441;"d";"a";2530;NA;NA;0;NA;NA;"";NA;"NW"
"442";442;"c";"a";500;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BW"
"443";443;"d";"a";11400;12;2005;0;NA;NA;"";Dec 2005;"SN"
"444";444;"c";"a";1700;11;2009;0;NA;NA;"";Nov 2009;"SN"
"445";445;"a";"a";240;NA;NA;0;NA;NA;"";NA;"NW"
"446";446;"a";"a";340;10;2000;1;31;2013;"Feb,May,Aug,Nov";Oct 2000;"NW"
"447";447;"a";"c";1510;9;2013;0;NA;NA;"";Sep 2013;"SH"
"448";448;"a";"c";3970;9;2009;0;NA;NA;"";Sep 2009;"NW"
"449";449;"a";"c";120;12;2014;1;37;2009;"Jan,Apr,Jul,Oct";Dec 2014;"HE"
"450";450;"c";"a";5780;11;1994;1;10;2014;"Mar,Jun,Sept,Dec";Nov 1994;"BW"
"451";451;"a";"a";2460;4;2009;1;13;2010;"Jan,Apr,Jul,Oct";Apr 2009;"HE"
"452";452;"a";"c";1850;8;2013;1;5;2011;"Feb,May,Aug,Nov";Aug 2013;"SH"
"453";453;"a";"c";75860;NA;NA;0;NA;NA;"";NA;"SH"
"454";454;"a";"a";26450;NA;NA;0;NA;NA;"";NA;"ST"
"455";455;"d";"c";7660;9;2010;0;NA;NA;"";Sep 2010;"BW"
"456";456;"a";"c";140;NA;NA;0;NA;NA;"";NA;"NW"
"457";457;"d";"c";13140;NA;NA;1;31;2013;"Jan,Apr,Jul,Oct";NA;"BY"
"458";458;"c";"a";3390;NA;NA;0;NA;NA;"";NA;"HE"
"459";459;"a";"a";250;9;2008;1;5;2013;"Feb,May,Aug,Nov";Sep 2008;"SH"
"460";460;"a";"a";34050;4;2008;0;NA;NA;"";Apr 2008;"ST"
"461";461;"d";"c";1790;7;2013;1;40;2013;"Jan,Apr,Jul,Oct";Jul 2013;"BW"
"462";462;"a";"a";44320;8;2008;0;NA;NA;"";Aug 2008;"ST"
"463";463;"a";"a";4160;NA;NA;0;NA;NA;"";NA;"NW"
"464";464;"c";"a";520;3;2009;0;NA;NA;"";Mar 2009;"HB, NI"
"465";465;"d";"c";10890;4;2005;0;NA;NA;"";Apr 2005;"HE"
"466";466;"a";"c";3110;3;2003;0;NA;NA;"";Mar 2003;"NW"
"467";467;"a";"c";20390;4;2008;0;NA;NA;"";Apr 2008;"NW"
"468";468;"c";"c";5260;9;2012;0;NA;NA;"";Sep 2012;"SH"
"469";469;"c";"c";710;9;2005;0;NA;NA;"";Sep 2005;"HB, NI"
"470";470;"a";"c";50;NA;NA;0;NA;NA;"";NA;"NW"
"471";471;"d";"a";5300;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"472";472;"c";"c";5030;8;2011;0;NA;NA;"";Aug 2011;"HH"
"473";473;"a";"a";50;NA;NA;0;NA;NA;"";NA;"NW"
"474";474;"c";"a";14810;NA;NA;1;14;2011;"Mar,Jun,Sept,Dec";NA;"TH"
"475";475;"a";"a";140;9;2005;0;NA;NA;"";Sep 2005;"NW"
"476";476;"d";"a";8300;9;2006;0;NA;NA;"";Sep 2006;"SN"
"477";477;"d";"a";770;7;2010;1;35;2010;"Jan,Apr,Jul,Oct";Jul 2010;"BY"
"478";478;"d";"c";1940;3;2012;0;NA;NA;"";Mar 2012;"HB, NI"
"479";479;"a";"a";320;12;2005;1;9;2011;"Feb,May,Aug,Nov";Dec 2005;"ST"
"480";480;"a";"a";300;11;2012;0;NA;NA;"";Nov 2012;"HB, NI"
"481";481;"c";"c";7470;NA;NA;1;44;2012;"Feb,May,Aug,Nov";NA;"HE"
"482";482;"c";"a";2550;10;2005;0;NA;NA;"";Oct 2005;"ST"
"483";483;"a";"c";2310;9;2011;1;13;2010;"Jan,Apr,Jul,Oct";Sep 2011;"ST"
"484";484;"a";"c";14300;3;2011;0;NA;NA;"";Mar 2011;"SH"
"485";485;"d";"c";3270;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"486";486;"a";"a";2320;NA;NA;1;31;2013;"Jan,Apr,Jul,Oct";NA;"NW"
"487";487;"d";"c";2180;9;2012;1;40;2012;"Jan,Apr,Jul,Oct";Sep 2012;"SH"
"488";488;"a";"c";2890;4;2014;0;NA;NA;"";Apr 2014;"SH"
"489";489;"a";"a";14960;11;2013;1;37;2009;"Jan,Apr,Jul,Oct";Nov 2013;"ST"
"490";490;"a";"a";660;4;2013;1;40;2014;"Jan,Apr,Jul,Oct";Apr 2013;"BY"
"491";491;"d";"c";4680;NA;NA;1;22;2012;"Mar,Jun,Sept,Dec";NA;"BW"
"492";492;"a";"a";1740;3;2008;1;40;2012;"Jan,Apr,Jul,Oct";Mar 2008;"BY"
"493";493;"d";"c";1150;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"494";494;"b";"a";1260;6;2011;0;NA;NA;"";Jun 2011;"HB, NI"
"495";495;"d";"a";5470;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"BW"
"496";496;"d";"c";2780;NA;NA;0;NA;NA;"";NA;"HB, NI"
"497";497;"a";"c";1610;NA;NA;0;NA;NA;"";NA;"HE"
"498";498;"a";"a";990;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"499";499;"c";"c";450;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"BW"
"500";500;"d";"c";10690;9;2007;1;5;2013;"Jan,Apr,Jul,Oct";Sep 2007;"BY"
"501";501;"a";"c";1620;9;2006;0;NA;NA;"";Sep 2006;"BY"
"502";502;"a";"a";220;2;2002;1;37;2009;"Jan,Apr,Jul,Oct";Feb 2002;"HE"
"503";503;"d";"c";13080;9;2006;1;14;2011;"Jan,Apr,Jul,Oct";Sep 2006;"ST"
"504";504;"c";"c";820;NA;NA;0;NA;NA;"";NA;"BE"
"505";505;"a";"a";350;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"BW"
"506";506;"a";"a";1850;12;2014;1;18;2011;"Feb,May,Aug,Nov";Dec 2014;"NW"
"507";507;"a";"c";9070;4;2011;1;37;2009;"Jan,Apr,Jul,Oct";Apr 2011;"NW"
"508";508;"a";"c";1280;NA;NA;1;40;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"509";509;"a";"a";4740;7;2008;1;37;2009;"Jan,Apr,Jul,Oct";Jul 2008;"HE"
"510";510;"a";"c";8260;NA;NA;0;NA;NA;"";NA;"NW"
"511";511;"a";"a";2060;9;2009;0;NA;NA;"";Sep 2009;"BE"
"512";512;"b";"b";590;NA;NA;1;5;2013;"Mar,Jun,Sept,Dec";NA;"BY"
"513";513;"a";"a";400;8;2013;0;NA;NA;"";Aug 2013;"HB, NI"
"514";514;"c";"c";1200;7;2012;1;27;2012;"Jan,Apr,Jul,Oct";Jul 2012;"BY"
"515";515;"d";"c";11260;NA;NA;1;9;2011;"Feb,May,Aug,Nov";NA;"NW"
"516";516;"a";"c";20;NA;NA;1;35;2010;"Mar,Jun,Sept,Dec";NA;"NW"
"517";517;"a";"c";22490;NA;NA;0;NA;NA;"";NA;"HE"
"518";518;"d";"c";3330;NA;NA;1;13;2010;"Jan,Apr,Jul,Oct";NA;"BY"
"519";519;"c";"c";2510;8;2009;1;1;2012;"Jan,Apr,Jul,Oct";Aug 2009;"SH"
"520";520;"a";"c";6900;NA;NA;1;40;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"521";521;"d";"a";18610;11;2002;1;48;2011;"Mar,Jun,Sept,Dec";Nov 2002;"RP"
"522";522;"d";"c";7160;11;2012;1;9;2011;"Jan,Apr,Jul,Oct";Nov 2012;"BY"
"523";523;"c";"c";50;11;2013;0;NA;NA;"";Nov 2013;"HB, NI"
"524";524;"a";"c";40860;9;2013;0;NA;NA;"";Sep 2013;"SH"
"525";525;"d";"c";1870;9;2013;0;NA;NA;"";Sep 2013;"HB, NI"
"526";526;"a";"a";120;NA;NA;1;48;2011;"Mar,Jun,Sept,Dec";NA;"TH"
"527";527;"d";"c";5830;4;2008;0;NA;NA;"";Apr 2008;"NW"
"528";528;"a";"c";20620;NA;NA;1;37;2009;"Jan,Apr,Jul,Oct";NA;"NW"
"529";529;"d";"c";12920;9;2012;0;NA;NA;"";Sep 2012;"SH"
"530";530;"a";"c";18160;NA;NA;0;NA;NA;"";NA;"SH"
"531";531;"a";"c";4030;NA;NA;0;NA;NA;"";NA;"HH"
"532";532;"a";"c";1070;8;2010;0;NA;NA;"";Aug 2010;"NW"
"533";533;"a";"c";5950;NA;NA;0;NA;NA;"";NA;"BW"
"534";534;"d";"a";1200;9;2009;1;45;2009;"Jan,Apr,Jul,Oct";Sep 2009;"BY"
"535";535;"a";"a";3570;4;2007;0;NA;NA;"";Apr 2007;"NW"
"536";536;"a";"c";4700;9;2002;1;31;2013;"Feb,May,Aug,Nov";Sep 2002;"NW"
"537";537;"a";"a";600;5;2002;1;1;2012;"Jan,Apr,Jul,Oct";May 2002;"BW"
"538";538;"a";"a";990;2;2010;0;NA;NA;"";Feb 2010;"SH"
"539";539;"a";"a";770;5;2013;1;40;2014;"Jan,Apr,Jul,Oct";May 2013;"BY"
"540";540;"d";"c";810;NA;NA;1;48;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"541";541;"a";"c";650;7;1990;0;NA;NA;"";Jul 1990;"NW"
"542";542;"a";"a";7280;9;2012;1;1;2013;"Jan,Apr,Jul,Oct";Sep 2012;"BY"
"543";543;"c";"a";1080;12;2012;0;NA;NA;"";Dec 2012;"HE"
"544";544;"a";"a";250;12;2001;1;13;2010;"Jan,Apr,Jul,Oct";Dec 2001;"SN"
"545";545;"a";"c";5020;5;2006;1;18;2014;"Feb,May,Aug,Nov";May 2006;"NW"
"546";546;"a";"a";580;1;2005;0;NA;NA;"";Jan 2005;"HB, NI"
"547";547;"d";"c";8990;11;2009;1;35;2010;"Mar,Jun,Sept,Dec";Nov 2009;"BY"
"548";548;"d";"c";3760;2;2009;0;NA;NA;"";Feb 2009;"HE"
"549";549;"a";"c";2330;NA;NA;0;NA;NA;"";NA;"HH"
"550";550;"d";"c";50;NA;NA;0;NA;NA;"";NA;"HE"
"551";551;"a";"c";2190;9;2013;0;NA;NA;"";Sep 2013;"SH"
"552";552;"a";"a";4260;7;2008;1;37;2009;"Jan,Apr,Jul,Oct";Jul 2008;"HE"
"553";553;"c";"a";3040;9;2002;1;13;2010;"Jan,Apr,Jul,Oct";Sep 2002;"BW"
"554";554;"c";"c";1200;NA;NA;0;NA;NA;"";NA;"HH"
"555";555;"d";"a";1560;1;2014;1;10;2013;"Mar,Jun,Sept,Dec";Jan 2014;"BY"
"556";556;"d";"c";1140;11;2014;0;NA;NA;"";Nov 2014;"HB, NI"
"557";557;"a";"a";250;NA;NA;0;NA;NA;"";NA;"NW"
"558";558;"a";"a";3000;2;2010;0;NA;NA;"";Feb 2010;"HH"
"559";559;"d";"a";3910;11;2006;1;5;2013;"Feb,May,Aug,Nov";Nov 2006;"ST"
"560";560;"c";"c";1910;7;2013;0;NA;NA;"";Jul 2013;"HB, NI"
"561";561;"d";"a";14300;NA;NA;0;NA;NA;"";NA;"NW"
"562";562;"b";"c";1210;NA;NA;0;NA;NA;"";NA;"BE"
"563";563;"a";"a";700;NA;NA;1;10;2014;"Jan,Apr,Jul,Oct";NA;"NW"
"564";564;"d";"c";6540;NA;NA;1;14;2013;"Jan,Apr,Jul,Oct";NA;"NW"
"565";565;"a";"c";160;7;2007;0;NA;NA;"";Jul 2007;"NW"
"566";566;"a";"a";3620;NA;NA;1;40;2013;"Jan,Apr,Jul,Oct";NA;"HH"
"567";567;"c";"a";1010;9;2012;1;18;2011;"Feb,May,Aug,Nov";Sep 2012;"NW"
"568";568;"d";"c";4270;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"569";569;"a";"a";1340;9;2006;0;NA;NA;"";Sep 2006;"HB, NI"
"570";570;"a";"a";180;11;2006;0;NA;NA;"";Nov 2006;"NW"
"571";571;"d";"a";2110;11;1995;1;40;2014;"Jan,Apr,Jul,Oct";Nov 1995;"BY"
"572";572;"d";"c";9230;4;2004;1;37;2009;"Jan,Apr,Jul,Oct";Apr 2004;"NW"
"573";573;"a";"a";1190;11;2012;1;36;2013;"Jan,Apr,Jul,Oct";Nov 2012;"BY"
"574";574;"d";"a";4400;NA;NA;0;NA;NA;"";NA;"BW"
"575";575;"a";"a";960;5;2008;1;13;2010;"Jan,Apr,Jul,Oct";May 2008;"BY"
"576";576;"c";"a";50;11;2006;0;NA;NA;"";Nov 2006;"HB, NI"
"577";577;"a";"c";2270;NA;NA;1;35;2012;"Mar,Jun,Sept,Dec";NA;"SH"
"578";578;"d";"a";12700;4;2013;0;NA;NA;"";Apr 2013;"SH"
"579";579;"c";"a";20970;11;2012;0;NA;NA;"";Nov 2012;"NW"
"580";580;"a";"c";170;2;2009;0;NA;NA;"";Feb 2009;"SH"
"581";581;"a";"a";7250;12;2013;0;NA;NA;"";Dec 2013;"RP"
"582";582;"a";"a";120;NA;NA;0;NA;NA;"";NA;"HE"
"583";583;"a";"a";2640;11;2002;0;NA;NA;"";Nov 2002;"ST"
"584";584;"d";"a";1360;NA;NA;1;35;2010;"Mar,Jun,Sept,Dec";NA;"HE"
"585";585;"d";"c";440;4;2014;0;NA;NA;"";Apr 2014;"SH"
"586";586;"a";"c";250;10;2008;0;NA;NA;"";Oct 2008;"NW"
"587";587;"d";"c";330;9;2006;1;14;2011;"Jan,Apr,Jul,Oct";Sep 2006;"BY"
"588";588;"d";"c";15720;3;2010;0;NA;NA;"";Mar 2010;"SH"
"589";589;"a";"c";360;NA;NA;1;18;2013;"Feb,May,Aug,Nov";NA;"HE"
"590";590;"d";"c";4520;9;2010;1;31;2013;"Jan,Apr,Jul,Oct";Sep 2010;"BW"
